지역,연봉,기업수
kyung-31,8000만 이상,0 
kyung-32,2400만 이상,10 
kyung-32,2600만 이상,10 
kyung-32,2800만 이상,7 
kyung-32,3000만 이상,7 
kyung-32,3200만 이상,3 
kyung-32,3400만 이상,3 
kyung-32,3600만 이상,3 
kyung-32,3800만 이상,3 
kyung-32,4000만 이상,1 
kyung-32,5000만 이상,1 
kyung-32,6000만 이상,0 
kyung-32,7000만 이상,0 
kyung-32,8000만 이상,0 
kyung-33,2400만 이상,1 
kyung-33,2600만 이상,1 
kyung-33,2800만 이상,1 
kyung-33,3000만 이상,1 
kyung-33,3200만 이상,1 
kyung-33,3400만 이상,1 
kyung-33,3600만 이상,1 
kyung-33,3800만 이상,1 
kyung-33,4000만 이상,1 
kyung-33,5000만 이상,1 
kyung-33,6000만 이상,0 
kyung-33,7000만 이상,0 
kyung-33,8000만 이상,0 
kyung-34,2400만 이상,2 
kyung-34,2600만 이상,2 
kyung-34,2800만 이상,2 
kyung-34,3000만 이상,2 
kyung-34,3200만 이상,1 
kyung-34,3400만 이상,1 
kyung-34,3600만 이상,1 
kyung-34,3800만 이상,1 
kyung-34,4000만 이상,0 
kyung-34,5000만 이상,0 
kyung-34,6000만 이상,0 
kyung-34,7000만 이상,0 
kyung-34,8000만 이상,0 
kyung-35,2400만 이상,1 
kyung-35,2600만 이상,1 
kyung-35,2800만 이상,1 
kyung-35,3000만 이상,1 
kyung-35,3200만 이상,1 
kyung-35,3400만 이상,1 
kyung-35,3600만 이상,1 
kyung-35,3800만 이상,0 
kyung-35,4000만 이상,0 
kyung-35,5000만 이상,0 
kyung-35,6000만 이상,0 
kyung-35,7000만 이상,0 
kyung-35,8000만 이상,0 
kyung-36,2400만 이상,0 
kyung-36,2600만 이상,0 
kyung-36,2800만 이상,0 
kyung-36,3000만 이상,0 
kyung-36,3200만 이상,0 
kyung-36,3400만 이상,0 
kyung-36,3600만 이상,0 
kyung-36,3800만 이상,0 
kyung-36,4000만 이상,0 
kyung-36,5000만 이상,0 
kyung-36,6000만 이상,0 
kyung-36,7000만 이상,0 
kyung-36,8000만 이상,0 
kyung-37,2400만 이상,0 
kyung-37,2600만 이상,0 
kyung-37,2800만 이상,0 
kyung-37,3000만 이상,0 
kyung-37,3200만 이상,0 
kyung-37,3400만 이상,0 
kyung-37,3600만 이상,0 
kyung-37,3800만 이상,0 
kyung-37,4000만 이상,0 
kyung-37,5000만 이상,0 
kyung-37,6000만 이상,0 
kyung-37,7000만 이상,0 
kyung-37,8000만 이상,0 
kyung-38,2400만 이상,0 
kyung-38,2600만 이상,0 
kyung-38,2800만 이상,0 
kyung-38,3000만 이상,0 
kyung-38,3200만 이상,0 
kyung-38,3400만 이상,0 
kyung-38,3600만 이상,0 
kyung-38,3800만 이상,0 
kyung-38,4000만 이상,0 
kyung-38,5000만 이상,0 
kyung-38,6000만 이상,0 
kyung-38,7000만 이상,0 
kyung-38,8000만 이상,0 
kyung-39,2400만 이상,1 
kyung-39,2600만 이상,1 
kyung-39,2800만 이상,1 
kyung-39,3000만 이상,1 
kyung-39,3200만 이상,1 
kyung-39,3400만 이상,1 
kyung-39,3600만 이상,1 
kyung-39,3800만 이상,0 
kyung-39,4000만 이상,0 
kyung-39,5000만 이상,0 
kyung-39,6000만 이상,0 
kyung-39,7000만 이상,0 
kyung-39,8000만 이상,0 
kyung-40,2400만 이상,12 
kyung-40,2600만 이상,10 
kyung-40,2800만 이상,10 
kyung-40,3000만 이상,9 
kyung-40,3200만 이상,5 
kyung-40,3400만 이상,5 
kyung-40,3600만 이상,5 
kyung-40,3800만 이상,3 
kyung-40,4000만 이상,2 
kyung-40,5000만 이상,2 
kyung-40,6000만 이상,1 
kyung-40,7000만 이상,1 
kyung-40,8000만 이상,1 
kyung-41,2400만 이상,1 
kyung-41,2600만 이상,1 
kyung-41,2800만 이상,1 
kyung-41,3000만 이상,1 
kyung-41,3200만 이상,0 
kyung-41,3400만 이상,0 
kyung-41,3600만 이상,0 
